assunto;faixaetaria
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 41 a 50 anos
TV por Assinatura;entre 51 a 60 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Telefonia Fixa;entre 41 a 50 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 41 a 50 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Internet Móvel;entre 31 a 40 anos
Internet Fixa;entre 21 a 30 anos
Aparelho celular;entre 21 a 30 anos
TV por Assinatura;entre 31 a 40 anos
Televisão;entre 31 a 40 anos
Televisão;entre 31 a 40 anos
Móveis e Colchões;entre 31 a 40 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 21 a 30 anos
Aparelho de telefone fixo / interfone;entre 21 a 30 anos
Perfumaria, cosméticos e higiene pessoal;entre 21 a 30 anos
Aparelho celular;entre 31 a 40 anos
Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);entre 31 a 40 anos
Microcomputador e laptops;entre 21 a 30 anos
Microcomputador e laptops;entre 31 a 40 anos
Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);entre 21 a 30 anos
TV por Assinatura;entre 21 a 30 anos
Aparelho de telefone fixo / interfone;entre 41 a 50 anos
Aparelho de telefone fixo / interfone;entre 41 a 50 anos
Aparelho de telefone fixo / interfone;entre 41 a 50 anos
Internet Fixa;entre 41 a 50 anos
Telefonia Fixa;entre 41 a 50 anos
Internet Móvel;entre 21 a 30 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Telefonia Fixa;entre 21 a 30 anos
Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);entre 61 a 70 anos
Demais Empréstimos e Financiamentos (exceto imóveis e veículos);entre 31 a 40 anos
Microcomputador e laptops;entre 21 a 30 anos
Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);entre 21 a 30 anos
Internet Fixa;entre 41 a 50 anos
Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 31 a 40 anos
Atendimento Bancário;entre 21 a 30 anos
Fogão, microondas, forno elétrico, depurador de ar e coifa;entre 31 a 40 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Internet Fixa;entre 21 a 30 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Telefonia Fixa;entre 21 a 30 anos
Telefonia Fixa;entre 21 a 30 anos
Telefonia Fixa;entre 21 a 30 anos
Internet Fixa;entre 21 a 30 anos
Tablet;entre 21 a 30 anos
Móveis e Colchões;entre 21 a 30 anos
Programas de Fidelidade / Benefícios (pontos, milhagem etc);entre 21 a 30 anos
Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );entre 21 a 30 anos
Televisão;entre 21 a 30 anos
Refrigerador / freezer;entre 21 a 30 anos
Internet Fixa;entre 31 a 40 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 21 a 30 anos
Telefonia Fixa;entre 41 a 50 anos
Aparelho celular;entre 61 a 70 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 21 a 30 anos
Telefonia Fixa;entre 21 a 30 anos
Internet Fixa;entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 31 a 40 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Internet Móvel;entre 51 a 60 anos
Internet Móvel;entre 21 a 30 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
TV por Assinatura;entre 21 a 30 anos
Demais aparelhos de comunicação;entre 21 a 30 anos
TV por Assinatura;entre 31 a 40 anos
TV por Assinatura;entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 41 a 50 anos
Aéreo;entre 51 a 60 anos
Telefonia Móvel Pós-paga;entre 51 a 60 anos
Aparelho celular;entre 21 a 30 anos
Internet Móvel;entre 21 a 30 anos
TV por Assinatura;entre 51 a 60 anos
Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);entre 21 a 30 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 41 a 50 anos
Crédito Consignado (Empréstimo descontado em folha de pagamento);entre 21 a 30 anos
TV por Assinatura;entre 31 a 40 anos
Telefonia Fixa;entre 31 a 40 anos
Consórcios (exceto imóveis);entre 21 a 30 anos
Produtos industrializados (embutidos, enlatados, conservas etc);entre 21 a 30 anos
Aparelho celular;entre 21 a 30 anos
Internet Fixa;entre 21 a 30 anos
Aparelho celular;entre 31 a 40 anos
Internet Fixa;entre 41 a 50 anos
Financiamentos de Veículos / Leasing;entre 21 a 30 anos
Financiamentos de Veículos / Leasing;entre 21 a 30 anos
Pacote de Serviços ( Combo );entre 21 a 30 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 41 a 50 anos
Microcomputador e laptops;entre 51 a 60 anos
Telefonia Fixa;entre 51 a 60 anos
Aparelho celular;entre 31 a 40 anos
Aparelho celular;entre 31 a 40 anos
Financiamentos de Veículos / Leasing;entre 21 a 30 anos
Internet Fixa;entre 31 a 40 anos
Aéreo;entre 41 a 50 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 41 a 50 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 41 a 50 anos
Investimentos / Aplicações / Previdência Privada;entre 41 a 50 anos
TV por Assinatura;entre 51 a 60 anos
Plano de Saúde (convênio, autogestão, seguro saúde );entre 51 a 60 anos
Telefonia Móvel Pré-paga;entre 31 a 40 anos
Televisão;entre 31 a 40 anos
Telefonia Fixa;entre 51 a 60 anos
TV por Assinatura;entre 41 a 50 anos
Telefonia Móvel Pós-paga;entre 21 a 30 anos
Telefonia Fixa;entre 41 a 50 anos
Telefonia Fixa;entre 41 a 50 anos
Telefonia Móvel Pós-paga;entre 21 a 30 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Internet Móvel;entre 41 a 50 anos
Telefonia Fixa;entre 31 a 40 anos
Atendimento Bancário;entre 61 a 70 anos
Internet Móvel;entre 21 a 30 anos
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 41 a 50 anos
Telefonia Móvel Pré-paga;entre 41 a 50 anos
Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc );entre 31 a 40 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 41 a 50 anos
Internet Fixa;entre 41 a 50 anos
Telefonia Móvel Pós-paga;entre 41 a 50 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 31 a 40 anos
Telefonia Fixa;entre 21 a 30 anos
Internet Fixa;entre 61 a 70 anos
Telefonia Móvel Pré-paga;entre 21 a 30 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 31 a 40 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 31 a 40 anos
Televisão;entre 21 a 30 anos
Conta corrente / Salário / Poupança /Conta Aposentadoria;entre 41 a 50 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 61 a 70 anos
Cartão de Crédito / Cartão de Débito / Cartão de Loja;entre 61 a 70 anos
Telefonia Fixa;entre 21 a 30 anos
Telefonia Móvel Pré-paga;entre 31 a 40 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Internet Fixa;entre 31 a 40 anos
Telefonia Móvel Pré-paga;entre 31 a 40 anos
Internet Fixa;entre 21 a 30 anos
TV por Assinatura;entre 51 a 60 anos
Telefonia Fixa;entre 41 a 50 anos
Telefonia Fixa;entre 31 a 40 anos
Financiamento de Imóveis;entre 31 a 40 anos
Internet Móvel;entre 31 a 40 anos
Aparelho de telefone fixo / interfone;entre 41 a 50 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
Internet Fixa;entre 41 a 50 anos
Telefonia Móvel Pós-paga;entre 31 a 40 anos
