nomefantasia;assunto
Cartão Carrefour;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Vivo - Telefônica ;Telefonia Fixa
Vivo - Telefônica ;Internet Fixa
Tim;Telefonia Móvel Pré-paga
Cartão Submarino;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Cartão Submarino;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Samsung;Televisão
Caixa Econômica Federal;Conta corrente / Salário / Poupança /Conta Aposentadoria
Bradesco Cartões;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Bradesco Cartões;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Oi Celular;Telefonia Fixa
Claro Celular;Telefonia Móvel Pré-paga
Claro Celular;Telefonia Móvel Pós-paga
Oi Fixo;Internet Fixa
Tim;Telefonia Móvel Pré-paga
Vivo - Telefônica ;Internet Fixa
SKY;TV por Assinatura
GVT;Telefonia Fixa
Claro Fixo - Embratel;Telefonia Fixa
Caixa Econômica Federal;Financiamento de Imóveis
Tim;Internet Móvel
Vivo - Telefônica ;Aparelho de telefone fixo / interfone
Oi Celular;Telefonia Móvel Pós-paga
Vivo - Telefônica ;Internet Fixa
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Tim;Telefonia Móvel Pós-paga
Magazineluiza.com;Aparelho celular
Vivo - Telefônica ;Internet Fixa
Oi Fixo;Telefonia Fixa
Oi Fixo;Telefonia Fixa
Oi Fixo;Pacote de Serviços ( Combo )
Magazineluiza.com;Microcomputador e laptops
Claro Celular;Telefonia Móvel Pós-paga
Vivo - Telefônica ;Telefonia Fixa
Caixa Econômica Federal;Cartão de Programas Sociais
Itaucard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Oi Fixo;Internet Móvel
SKY;TV por Assinatura
Casasbahia.com;Tablet
Tim;Internet Móvel
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Bradescard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Oi Celular;Telefonia Móvel Pré-paga
GVT;Telefonia Fixa
GVT;Internet Fixa
Vivo - Telefônica ;Internet Fixa
Submarino;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.)
Pontofrio.com;Televisão
Ricardo Eletro.com;Aparelho celular
Submarino;Ar condicionado e aquecedor
Oi Fixo;Demais aparelhos de comunicação
Tim;Internet Fixa
Oi Paggo Administradora de Crédito;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Banco Santander;Atendimento Bancário
Tim;Internet Móvel
Itaucard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Tim;Telefonia Móvel Pré-paga
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Banco Bradesco;Conta corrente / Salário / Poupança /Conta Aposentadoria
Vivo - Telefônica ;Aparelho celular
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Oi Fixo;Internet Fixa
Tam;Aéreo
Extra ;Supermercados e Conveniências
Vivo - Telefônica ;TV por Assinatura
Caixa Econômica Federal;Financiamento de Imóveis
Vivo - Telefônica ;Internet Fixa
Claro TV ;Pacote de Serviços ( Combo )
Tim;Internet Móvel
Banco Santander Cartões;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Samsung;Lavadora de roupa, louça e secadora
Tim;Internet Fixa
Submarino;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)
Pontofrio.com;Aparelho celular
Submarino;Aparelho de telefone fixo / interfone
Tam;Programas de Fidelidade / Benefícios (pontos, milhagem etc)
Vivo - Telefônica ;Internet Fixa
Oi Fixo;Telefonia Móvel Pós-paga
Caixa Econômica Federal;Seguros de Veículos
Aliança do Brasil;Seguro de Vida / Acidentes Pessoais / Desemprego
Oi Fixo;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Vivo - Telefônica ;Telefonia Fixa
Oi Fixo;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Banco Bradesco;Seguro Habitacional / Residencial
Tim;Seguro de Vida / Acidentes Pessoais / Desemprego
Oi Celular;Tablet
Oi Fixo;Aparelho celular
Bradesco Financiamentos;Cadastro de Restrição (SPC, Serasa etc)
Vivo - Telefônica ;TV por Assinatura
Americanas.com;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)
Oi Celular;Telefonia Móvel Pós-paga
Oi Celular;Telefonia Móvel Pós-paga
Tim;Telefonia Móvel Pré-paga
Tim;Telefonia Móvel Pré-paga
Vivo - Telefônica ;Telefonia Fixa
Caixa Econômica Federal;Conta corrente / Salário / Poupança /Conta Aposentadoria
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Vivo - Telefônica ;TV por Assinatura
Vivo - Telefônica ;Telefonia Fixa
Tim;Telefonia Móvel Pré-paga
Tim;Telefonia Móvel Pré-paga
Moip;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Vivo - Telefônica ;Internet Fixa
Vivo - Telefônica ;Internet Fixa
Ricardo Eletro.com;Aparelho celular
Vivo - Telefônica ;Telefonia Fixa
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Mueller Eletrodomésticos;Lavadora de roupa, louça e secadora
Bradesco Cartões;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Vivo - Telefônica ;Internet Móvel
Vivo - Telefônica ;TV por Assinatura
Tim;Telefonia Móvel Pós-paga
Banco Bradesco;Cadastro de Restrição (SPC, Serasa etc)
Banco Itaú Unibanco;Cadastro de Restrição (SPC, Serasa etc)
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Oi Celular;Aparelho celular
Vivo - Telefônica ;Internet Fixa
Claro Celular;Telefonia Móvel Pré-paga
Caixa Econômica Federal;Crédito Consignado (Empréstimo descontado em folha de pagamento)
Tim;Telefonia Móvel Pós-paga
Oi Celular;Telefonia Móvel Pré-paga
Vivo - Telefônica ;Demais aparelhos de comunicação
Oi Fixo;Telefonia Fixa
Caixa Econômica Federal;Serviço de pagamento online/ via celular
SKY;TV por Assinatura
Vivo - Telefônica ;Pacote de Serviços ( Combo )
Americanas.com;Microcomputador e laptops
Casasbahia.com;Aparelho celular
Oi Fixo;Pacote de Serviços ( Combo )
Extra.com;Aparelho celular
Samsung;Televisão
Ricardo Eletro.com;Microcomputador e laptops
Magazineluiza.com;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Americanas.com;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.)
Casasbahia.com;Aparelho celular
Claro TV ;TV por Assinatura
Oi Fixo;Telefonia Fixa
Vivo - Telefônica ;TV por Assinatura
Vivo - Telefônica ;Internet Fixa
Banco Itaú Unibanco;Serviço de pagamento online/ via celular
Oi Celular;Aparelho celular
Extra.com;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.)
Oi Fixo;Telefonia Fixa
Submarino;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Tim;Aparelho celular
Itauleasing;Financiamentos de Veículos / Leasing
Oi Fixo;Telefonia Fixa
Pontofrio.com;Televisão
Casasbahia.com;Aparelho celular
Vivo - Telefônica ;Aparelho celular
Bradesco Saúde;Plano de Saúde (convênio, autogestão, seguro saúde )
Tim;Telefonia Móvel Pré-paga
Extra.com;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, etc )
Ricardo Eletro.com;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.)
Casasbahia.com;Aparelho celular
Walmart.com;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)
Centauro.com.br;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)
Americanas.com;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)
Magazineluiza.com;Tablet
Tim;Telefonia Móvel Pós-paga
Claro Celular;Aparelho celular
Caixa Econômica Federal;Conta corrente / Salário / Poupança /Conta Aposentadoria
Caixa Econômica Federal;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Americanas.com;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)
Odontoprev;Plano Odontológico (convênio, autogestão, seguro saúde )
Magazineluiza.com;Tablet
Ricardo Eletro.com;Microcomputador e laptops
Banco Santander Cartões;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Americanas.com;Demais aparelhos de comunicação
Magazineluiza.com;Tablet
Centauro.com.br;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)
Casasbahia.com;Aparelho celular
Americanas.com;Televisão
Extra.com;Microcomputador e laptops
Magazineluiza.com;Microcomputador e laptops
Pontofrio.com;Televisão
Extra.com;Aparelho celular
Magazineluiza.com;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Amil;Plano de Saúde (convênio, autogestão, seguro saúde )
Tim;Telefonia Móvel Pré-paga
Americanas.com;Televisão
Cardif Seguros e Garantias;Seguro Garantia Estendida
Claro Celular;Telefonia Móvel Pós-paga
Walmart.com;Aparelho celular
Tim;Telefonia Móvel Pré-paga
Oi Fixo;Telefonia Fixa
Vivo - Telefônica ;Aparelho celular
Oi Fixo;Microcomputador e laptops
Extra.com;Microcomputador e laptops
Submarino;Aparelho celular
Magazineluiza.com;Televisão
Oi Fixo;Telefonia Fixa
Pontofrio.com;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Walmart.com;Microcomputador e laptops
Walmart.com;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)
Walmart.com;Móveis e Colchões
Itaucard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Itaucard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Pontofrio.com;Televisão
Submarino;Utilidades Domésticas e Decoração (para limpeza, de cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem, ferramentas etc.)
Submarino;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Claro Celular;Telefonia Móvel Pré-paga
Vivo - Telefônica ;Telefonia Móvel Pós-paga
Claro Celular;Telefonia Móvel Pós-paga
Claro Celular;Telefonia Móvel Pós-paga
Vivo - Telefônica ;Internet Fixa
Tim;Aparelho de telefone fixo / interfone
Tim;Telefonia Móvel Pós-paga
Tim;Internet Móvel
Tam;Aéreo
Samsung;Televisão
Oi Fixo;Telefonia Fixa
Vivo - Telefônica ;Aparelho de telefone fixo / interfone
Itaucard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Claro Celular;Telefonia Móvel Pós-paga
Banco Itaú Unibanco;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Vivo - Telefônica ;Internet Fixa
SKY;TV por Assinatura
Claro Fixo - Embratel;Internet Fixa
Casasbahia.com;Aparelho celular
Vivo - Telefônica ;Internet Móvel
Tim;Telefonia Móvel Pré-paga
Oi Fixo;Internet Fixa
Claro Celular;Telefonia Móvel Pós-paga
Casasbahia.com;Aparelho celular
Vivo - Telefônica ;TV por Assinatura
Claro Celular;Telefonia Móvel Pós-paga
Casasbahia.com;Aparelho celular
Bradescard;Cartão de Crédito / Cartão de Débito / Cartão de Loja
Magazineluiza.com;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)
Banco Itaú Unibanco;Conta corrente / Salário / Poupança /Conta Aposentadoria
Banco Itaú Unibanco;Conta corrente / Salário / Poupança /Conta Aposentadoria
Oi Fixo;Internet Fixa
Americanas.com;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)
Extra.com;Móveis e Colchões
SKY;TV por Assinatura
Magazineluiza.com;Acessórios e periféricos ( monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)
Pontofrio.com;Televisão
Magazineluiza.com;Microcomputador e laptops
