comocomproucontratou;problema
Loja física;Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Loja física;Dificuldade na recarga de créditos (não inserida, não revalidada)
Internet;Dificuldade na Renegociação / parcelamento de dívida
Internet;Falta de peça de reposição
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado
Não comprei / contratei;Serviço indisponível para a região ou sem previsão
Internet;SAC - Demanda não resolvida / não respondida
Internet;Alteração de plano/contrato sem solicitação ou aviso prévio
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Loja física;Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Não comprei / contratei;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Não comprei / contratei;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento)
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Ganhei de presente;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Dificuldade para rescindir o contrato / cancelar o serviço
Loja física;SAC - Dificuldade para cancelar o serviço
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;SAC - Dificuldadede de contato / acesso
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Loja física;Não entrega do contrato ou documentação relacionada ao serviço
Loja física;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Não comprei / contratei;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Negativação indevida
Ganhei de presente;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cobrança submetendo a ofensa, constrangimento ou ameaça
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;SAC - Dificuldadede de contato / acesso
Internet;Dificuldade para alterar/ ativar serviços
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Loja física;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Internet;Não entrega / demora na entrega do produto
Loja física;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Loja física;SAC - Demanda não resolvida / não respondida
Telefone;SAC - Demanda não resolvida / não respondida
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Dificuldade na Renegociação / parcelamento de dívida
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Não entrega de cartão
Internet;Cobrança adicional não informada previamente (frete, montagem, taxas)
Loja física;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Cobrança de compra/saque não reconhecido / Contestação de cobrança
Não comprei / contratei;Suspensão ou desligamento indevido do serviço
Internet;Não entrega / demora na entrega do produto
Internet;SAC - Demanda não resolvida / não respondida
Stand, feiras e eventos;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Cobrança de tarifas, taxas, valores não previstos / não informados
Domicílio;SAC - Demanda não resolvida / não respondida
Loja física;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Domicílio;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Alteração de plano/contrato sem solicitação ou aviso prévio
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Não entrega / demora na entrega do produto
Loja física;Demora na montagem / montagem incorreta / incompleta
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Descumprimento do estatuto do idoso
Telefone;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;Cobrança de compra/saque não reconhecido / Contestação de cobrança
Telefone;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Internet;Cobrança submetendo a ofensa, constrangimento ou ameaça
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado
Internet;Não entrega / demora na entrega do produto
Não comprei / contratei;Dificuldade na Renegociação / parcelamento de dívida
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Dificuldade para alterar/ ativar serviços
Loja física;Dificuldade para alterar/ ativar serviços
Loja física;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento)
Stand, feiras e eventos;SAC - Dificuldade para cancelar o serviço
Loja física;Não entrega de cartão
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Telefone;Dificuldade na Renegociação / parcelamento de dívida
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Dificuldade para contratar / recusa injustificada
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Dificuldade para contratar / recusa injustificada
Não comprei / contratei;Cobrança de tarifas, taxas, valores não previstos / não informados
Telefone;SAC - Dificuldade para cancelar o serviço
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Dificuldade na recarga de créditos (não inserida, não revalidada)
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Internet;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Telefone;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Dificuldade para rescindir o contrato / cancelar o serviço
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Dificuldade para contratar / recusa injustificada
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Não comprei / contratei;Cobrança submetendo a ofensa, constrangimento ou ameaça
Não comprei / contratei;Descredenciamento de prestadores (médicos, hospitais, clínicas, laboratórios etc)
Telefone;Não fornecimento da conta detalhada
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Loja física;SAC - Demanda não resolvida / não respondida
Telefone;SAC - Demanda não resolvida / não respondida
Internet;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Telefone;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Telefone;Dificuldade de contato / demora no atendimento
