comocomproucontratou;problema
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Internet;SAC - Dificuldade em obter protocolo, gravação ou histórico
Loja física;SAC - Dificuldade para cancelar o serviço
Stand, feiras e eventos;Negativação indevida - desconhece motivo e/ou fornecedor
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;SAC - Descortesia / despreparo / demora
Domicílio;Dificuldade para contratar / recusa injustificada
Stand, feiras e eventos;SAC - Demanda não resolvida / não respondida
Domicílio;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento
Catálogo;Dificuldade de contato / demora no atendimento
Loja física;Negativação indevida referente à pagamento já efetuado
Stand, feiras e eventos;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Internet;Não entrega / demora na entrega do produto
Telefone;Suspensão ou desligamento indevido do serviço
Não comprei / contratei;SAC - Descortesia / despreparo / demora
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
